CATEGORIA,DESCRIPCION
Pan Dulce Tradicional,"Conchas, orejas, mantecadas, donas, panqué, polvorones, cocoles y bísquets."
Pan Blanco / De Mesa,"Bolillos, teleras, baguettes y pan de caja artesanal."
Repostería y Pasteles,"Pasteles de tres leches, gelatinas artísticas, flanes, pays (queso/piña) y tartas."
Pan de Temporada,Pan de muerto (octubre/noviembre) y Rosca de Reyes (enero).
Insumos Acompañantes,"Velitas para pastel, globos sencillos, mermeladas y cajetas para untar."
Galletería,"Galletas surtidas, polvorones, hojarascas, cuernitos y galletas de animalitos."
Pan Integral y Saludable,"Pan integral, multigrano, sin azúcar y opciones libres de gluten."
Bebidas de Acompañamiento,"Café, leche, atole, chocolate caliente, jugos y refrescos."
Pasteles por Encargo,"Pasteles personalizados para cumpleaños, bautizos, bodas y eventos."
Botana y Antojitos Salados,"Empanadas, garnachas, quesadillas, tamales y panes rellenos (según local)."
