CATEGORIA,DESCRIPCION
Motor y Transmisión,"Aceite para moto (2T y 4T), bujías, filtros de aire, chicotes de acelerador y embrague."
Tracción (Kit de Arrastre),"Cadenas, coronas, piñones y lubricantes para cadena."
Frenos y Suspensión,"Balatas, balatas de tambor, líquido de frenos y retenes para suspensión delantera."
Llantas y Cámaras,"Llantas de diversas medidas de trabajo, cámaras de aire y parches/pegamento."
Sistema Eléctrico,"Baterías para moto, focos de faro y direccionales, destelladores y CDIs."
Accesorios del Motociclista,"Cascos, guantes, impermeables, espejos, candados de disco y redes sujetadoras."
"Filtros, Lubricantes y Aditivos","Filtros de aceite, grasas, aditivos, limpiadores de cadena y desengrasantes."
Sistema de Combustible,"Carburadores, llaves de paso, mangueras de gasolina, flotadores y filtros."
Carrocería y Plásticos,"Carenados, guardafangos, faros, calaveras, salpicaderas y espejos."
Manubrio y Controles,"Manubrios, palancas de freno/clutch, puños, aceleradores y mandos."
Asientos y Estética,"Forros de asiento, calcomanías, stickers, antiderrapantes y accesorios decorativos."
Herramienta y Mantenimiento,"Llaves, desarmadores, pie de amigo (caballetes), candados y kit de herramienta básica."
