CATEGORIA,DESCRIPCION
Alimento Semillero y Granel,"Croquetas para perro y gato por kilo, alpiste, mijo, maíz quebrado y alimento para gallos."
Alimento De Marca (Empacado),Alimento seco y húmedo (sobres/latas) de marcas comerciales reconocidas.
Salud e Higiene Animal,"Champú antipulgas, jabón medicado, collares antiparasitarios, arenas para gato y desparasitantes."
Accesorios y Juguetes,"Correas, collares, pecheras, platos de comida, pelotas, rascadores y camas sencillas."
Acuario y Peces Básicos,"Peces de agua dulce (peces japoneses, guppys), alimento en hojuelas, anticloro y filtros de agua."
Snacks y Premios,"Premios, huesos, galletas, snacks dentales y golosinas para perros y gatos."
Farmacia Veterinaria,"Desparasitantes, vitaminas, antipulgas inyectables/pipetas, suplementos y curaciones básicas."
Estética y Aseo,"Cepillos, cortauñas, shampoos, toallitas, perfumes y accesorios de baño."
Hábitat y Transporte,"Jaulas, transportadoras, casas, camas, bebederos y comederos."
Aves y Animales de Corral,"Alimento para aves, gallinas, periquitos y canarios; jaulas y accesorios."
Roedores y Pequeñas Especies,"Alimento y accesorios para hámsters, conejos, cuyos y tortugas."
